lithuanian,english,synonyms,needs checking,hints
avarija,crash,accident,,action
autobusas,bus,,,transport
aliejus,oil,,,liquid
alus,beer,,,liquid
auksas,gold,,,colour
atodūsis,sigh,,,
avys,sheep,,,animal
antradienis,tuesday,,,weekday
arba,or,,,
apskritimas,circle,,,shape
anglija,england,,,country
amerika,america,,,country
balta,white,,,colour
bankas,bank,,,building
bėgimas,run,,,movement
balandis,pigeon,april,,"month, bird"
berniukas,boy,,,human
bulvė,potato,,,vegetable
birželis,june,,,month
bijo,afraid,fear,,feeling
buvo,was,,,
cukrus,sugar,,,food
dronas,drone,,,machine
druska,salt,,,food
durys,door,,,"item, home"
duona,bread,,,food
dujos,gas,,,
degiklis,burner,,,
daržovė,vegetable,,,food
dešra,sausage,,,food
diena,day,,,time
dviratis,bicycle,,,transport
diskas,disc,disk,,computing
europa,europe,,,contintinent
gražus,pretty,beautiful,,
geltona,yellow,,,colour
geležis,iron,,,metal
gegužė,may,,,month
gruodis,december,,,month
investuotojas,investor,,,
išsiųsta,sent,,,
informacija,information,,,
internetas,internet,,,computing
ispanija,spain,,,country
jouda,black,,,colour
keptas,fried,,,food
karališkas,royal,,,
karalienė,queen,,,
karalius,king,,,
karūna,crown,,,
knyga,book,,,item
kovas,march,,,month
kompiuteris,computer,,,computing
kelias,road,,,transport
keptuvė,pan,,,cooking
kūdikis,baby,,,human
klaviatūra,keyboard,,,computing
laidas,cable,,,computing
kopūstas,cabbage,,,food
katė,cat,,,animal
keista,weird,,,
kepsininė,grill,,,cooking
kasti,dig,,,action
kopija,copy,,,computing
kambarys,room,,,home
ketvirtadienis,thursday,,,weekday
kumpis,ham,,,"meat, food"
kas,what,,,
lėktuvas,plane,airplane,,transport
laikas,time,,,
laukti,wait,,,
langas,window,,,home
lipni jousta,sticky tape,tape,,item
lietingas,rainy,,,weather
liūtas,lion,,,animal
liepa,june,,,month
lapkritis,november,,,month
lova,bed,,,home
lenkija,poland,,,country
miltai,flour,,,food
mėlyna,blue,,,colour
monetos,coins,,,item
moteris,woman,,,human
maistas,food,,,food
mėsa,meat,,,food
medis,tree,,,plant
metalas,metal,,,
makaronai,pasta,,,food
mobiliusis telefonas,mobile telephone,mobile,,item
mergina,girl,,,human
miestas,city,,,place
morka,carrot,,,food
mėnulis,moon,,,
močiutė,grandmother,grandma,,human
mokėti,pay,to pay,,action
metinės,anniversary,,,time
naktis,night,,,time
naršyklė,browser,,,computing
nulis,zero,,,number
oro uostas,airport,,,transport
orkaitė,oven,,,cooking
oda,skin,,,leather
obuolys,apple,,,food
pinigai,money,,,
popierius,paper,,,
pasiklydęs,lost,,,
plastikas,plastic,,,
siuntinys,package,,,
paštas,mail,post,,
pasaulis,world,,,
paukštis,bird,,,animal
parduotuvė,shop,store,,place
pilis,castle,,,place
pavasaris,spring,,,season
puodelis,cup,,,item
pieštukas,pencil,,,item
pelė,mouse,,,computing
pirmadienis,monday,,,weekday
penktadienis,friday,,,weekday
peilis,knife,,,item
poezija,poetry,,,
pristatytas,delivered,,,
pirmas,first,,,number
paskutinis,last,,,number
prancūzija,france,,,country
ryžiai,rice,,,food
ruda,brown,,,colour
raudona,red,,,colour
ratas,wheel,,,"item, transport"
rasta,found,,,
rašiklis,pencil,,,item
ruduo,autumn,,,season
rugpjūtis,august,,,month
regsėjis,september,,,month
rusija,russia,,,country
siunta,shipment,,,
sodas,garden,,,place
sausis,january,,,month
sidabras,silver,,,metal
sostas,throne,,,"item, furniture"
stiklas,glass,,,material
šypsena,smile,,,facial expression
siutinys,package,,,
sausainis,cookie,biscuit,,food
saulė,sun,,,
slaptažodis,password,,,computing
šoninė,bacon,,,food
sūris,cheese,,,food
šviesa,light,,,
skardinė,can,tin,,item
stalčius,drawer,locker,,"item, home"
šuo,dog,,,animal
senelis,grandfather,,,human
sumokėta,paid,,,
sąskaitos,accounts,,,
šlapias,wet,,,
spausdintuvas,printer,,,computing
spalis,october,,,month
šeštadienis,saturaday,,,weekday
sekmadienis,sunday,,,weekday
šaukštas,spoon,,,item
šakute,fork,,,item
simbolis,symbol,,,
šio,(of) this,,,
trūksta,missing,lacking,,
traukinys,train,,,transport
tvora,fence,hedge,,"item, home"
tamsus,dark,,,something is
televizija,television,,,"item, home"
tigras,tiger,,,animal
trečiadienis,wednesday,,,weekday
tu,you,,,
tai,this,,,
ugnis,fire,,,
užuolaidos,curtains,,,"item, home"
violetinė,purple,violet,,colour
vėjas,wind,,,
vėlavimas,delay,,,
vištiena,chicken,,,animal
virejas,cook,,,cooking
vyras,man,,,human
virdulys,kettle,,,"item, cooking"
vasaris,feburary,,,month
vaikščioti,walk,,,action
viela,wire,,,computing
valgis,meal,,,food
virvė,rope,,,item
vaikas,child,,,human
varis,copper,,,metal
vaisiai,fruit,,,food
vasara,summer,,,season
vynas,wine,,,drink
viskis,whisky,,,drink
vanduo,water,,,drink
vilkas,wolf,,,animal
vokietija,germany,,,country
žemė,land,earth,,
žalia,green,,,colour
žiema,winter,,,season
žuvis,fish,,,animal
žodis,word,,,
žvaigždė,star,,,
